제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","707",
"2","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","485",
"3","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","483",
"4","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","467",
"5","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","1-2 :","9791165341909","452",
"6","알사탕 ","백희나","책읽는곰","2017","","9791158360375","415",
"7","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","406",
"8","이상한 엄마 ","백희나","책읽는곰","2016","","9791158360214","368",
"9","오싹오싹 크레용! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2022","","9788964964767","365",
"10","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","362",
"11","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","342",
"12","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","341",
"13","홍학의 자리 :정해연 장편소설 ","지은이: 정해연","문학동네","2021","","9788954681155","337",
"13","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","337",
"15","역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ","자청 지음","웅진씽크빅","2022","","9788901260716","334",
"16","(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업 ","김미경 지음","엠케이유니버스","2023","","9791198013026","331",
"17","어떻게 말해줘야 할까 :오은영의 현실밀착 육아회화 ","글: 오은영 ;그림: 차상미","김영사","2020","","9788934986652","329",
"18","어서오세요, 휴남동 서점입니다 :황보름 장편소설 ","지은이: 황보름","클레이하우스","2022","","9791197377143","328",
"19","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","325",
"20","당근 유치원 ","지은이: 안녕달","창비","2020","","9788936455484","312",
"21","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","1","9788970129815","311",
"22","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","2","9788934980254","310",
"23","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","309",
"24","이상한 손님 ","백희나","책읽는곰","2018","","9791158360801","308",
"25","(세상에서 가장 쉬운) 본질육아 :삶의 근본을 보여주는 부모, 삶을 스스로 개척하는 아이 ","지나영 지음","21세기북스(북이십일 21세기북스)","2022","","9788950941819","306",
"26","긴긴밤 ","루리 글·그림","문학동네","2021","","9788954677158","305",
"27","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","304",
"28","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","303",
"29","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","299",
"29","오싹오싹 팬티! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2018","","9788964963678","299",
"31","꽁꽁꽁 아이스크림 :윤정주 그림책 ","윤정주","책읽는곰","2022","","9791158363499","296",
"32","팥빙수의 전설 :이지은 그림책 ","글·그림: 이지은","웅진씽크빅","2019","","9788901232232","295",
"33","달러구트 꿈 백화점.이미예 장편소설 ","지은이: 이미예","팩토리나인","2020","2","9791165343729","290",
"33","두근두근 편의점 :김영진 그림책 ","지은이: 김영진","책읽는곰","2022","","9791158363178","290",
"35","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","288",
"36","(서울 자가에 대기업 다니는) 김 부장 이야기 ","송희구 지음","서삼독","2021","1","9791165343996","287",
"36","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","5","9788936448370","287",
"36","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","287",
"36","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","287",
"40","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","284",
"40","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","284",
"42","네 기분은 어떤 색깔이니? :최숙희 그림책 ","최숙희","책읽는곰","2023","","9791158363925","283",
"43","장군이네 떡집 ","김리리 글 ;이승현 그림","비룡소","2020","","9788949162041","281",
"44","나는 개다 ","백희나","책읽는곰","2019","","9791158361365","280",
"44","시선으로부터, :정세랑 장편소설 ","지은이: 정세랑","문학동네","2020","","9788954672214","280",
"44","흔한남매 과학 탐험대","원작: 흔한남매 ;그림: 김덕영","김영사","2021","1","9788934989257","280",
"47","완전한 행복 :정유정 장편소설 ","지은이: 정유정","은행나무","2021","","9791167370280","277",
"47","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","277",
"49","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","1","9791164135738","274",
"50","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","273",
"50","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","273",
"50","작별인사 :김영하 장편소설 ","지은이: 김영하","복복서가","2022","","9791191114225","273",
"53","만복이네 떡집 ","김리리 글 ;이승현 그림","비룡소","2010","","9788949161341","271",
"54","메리골드 마음 세탁소","윤정은 (지은이)","북로망스","2023","","9791191891287","269",
"55","소원 떡집 ","김리리 글 ;이승현 그림","비룡소","2020","","9788949162058","266",
