제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"1","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","204",
"2","나는 대한민국 검사였다 - 누가 노무현을 죽였나","이인규 (지은이)","조갑제닷컴","2023","","9791185701752","154",
"3","80세의 벽 :벽을 넘어서면 인생에서 가장 행복한 20년이 기다린다 ","와다 히데키 지음 ;김동연 옮김","한즈미디어","2022","","9791160078671","142",
"4","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","130",
"5","고래:천명관 장편소설","천명관 지음","문학동네","2004","","9788982819278","100",
"6","원청 :위화 장편소설 ","지은이: 위화 ;옮긴이: 문현선","푸른숲","2022","","9791156751298","96",
"6","장하준의 경제학 레시피 :마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기 ","장하준 지음 ;김희정 옮김","부키","2023","","9788960519794","96",
"8","당신도 느리게 나이 들 수 있습니다 :나이가 들어도 몸의 시간을 젊게 ","정희원 지음","길벗","2023","","9791140702589","92",
"8","모든 삶은 흐른다 :삶의 지표가 필요한 당신에게 바다가 건네는 말 ","로랑스 드빌레르 지음 ;이주영 옮김","Fika(피카)","2023","","9791190299770","92",
"10","이미 시작된 전쟁 - 북한은 왜 전쟁을 일으킬 수밖에 없는가","이철 (지은이)","페이지2(page2)","2023","","9791169850209","91",
"11","재수사 :장강명 장편소설 ","지은이: 장강명","은행나무","2022","1","9791167372017","88",
"12","죽음의 역사 :죽음은 어떻게 우리의 세상을 변화시켰는가? ","앤드루 도이그 지음 ;석혜미 옮김","로크미디어","2023","","9791140806409","87",
"13","천년의 질문 :조정래 장편소설 ","저자: 조정래","해냄","2019","1","9788965746829","83",
"13","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","1","9788970129815","83",
"15","70대에 행복한 고령자 :70대는 인생 100년 시대의 황금기 ","지은이: 와다 히데키 ;옮긴이: 허영주","청홍","2023","","9788965023210","81",
"16","재수사 :장강명 장편소설 ","지은이: 장강명","은행나무","2022","2","9791167372024","80",
"17","K 배터리 레볼루션 =향후 3년, 새로운 부의 시장에서 승자가 되는 법 /K battery revolution ","박순혁 지음","지와인","2023","","9791191521221","77",
"18","살 때, 팔 때, 벌 때 =여의도 닥터둠 강영현이 공개하는 진격의 주식 투자 타이밍 /Timing to buy, sell, make a fortune ","강영현 지음","21세기북스(북이십일 21세기북스)","2023","","9788950960667","76",
"19","천년의 질문 :조정래 장편소설 ","저자: 조정래","해냄","2019","3","9788965746843","75",
"20","런던에서 온 평양 여자","오혜선 (지은이)","더미라클","2023","","9791198161734","74",
"20","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","74",
"22","정세현의 통찰 :국제질서에서 시대의 해답을 찾다 ","정세현 지음","푸른숲","2023","","9791156754039","72",
"23","파친코 :이민진 장편소설","이민진 지음 ;이미정 옮김","문학사상","2018","2","9788970129822","71",
"23","희망의 끈","히가시노 게이고 (지은이), 김난주 (옮긴이)","재인","2022","","9791192483146","71",
"25","잊혀진 계절 :어느 교수의 전쟁","지은이: 김도형","AS","2022","1","9791197732706","70",
"26","챗GPT :2023 전 세계를 뒤흔든 빅이슈의 탄생 ","반병현 지음","생능출판사","2023","","9791192932057","69",
"27","만일 내가 인생을 다시 산다면 :벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 ","김혜남 지음","메이븐","2022","","9791190538510","68",
"28","수호자들 :존 그리샴 장편소설 ","지은이: 존 그리샴 ;옮긴이: 남명성","대원씨아이","2023","","9791169793087","66",
"28","중국은 어떻게 실패하는가 :미중 패권 대결 최악의 시간이 온다 ","마이클 베클리,김종수 옮김","부키","2023","","9788960519695","66",
"30","(趙廷來 大河小說) 太白山脈","趙廷來","해냄출판사","2007","1","9788973377947","65",
"30","당신이 모르는 민주주의 :자본주의와 자유주의의 불편한 공존 ","지은이: 마이클 샌델 ;옮긴이: 이경식","미래엔","2023","","9791168415096","65",
"30","방주 :유키 하루오 장편소설 ","지은이: 유키 하루오 ;옮긴이: 김은모","블루홀6(블루홀식스)","2023","","9791189571894","65",
"30","정글만리 :조정래 장편소설","저자: 조정래","해냄출판사","2013","1","9788965744023","65",
"30","천년의 질문 :조정래 장편소설 ","저자: 조정래","해냄","2019","2","9788965746836","65",
"35","세이노의 가르침","세이노 (지은이)","데이원","2023","","9791168473690","64",
"36","고통의 비밀 :통증에 관한 오해와 진실 ","몬티 라이먼 지음 ;박선영 옮김","상상스퀘어","2022","","9791192389059","63",
"36","생에 감사해 ","지은이: 김혜자","수오서재","2022","","9791190382915","63",
"36","이지성의 1만 킬로미터 - 그들은 왜 목숨을 건 여정을 떠나는가?","이지성 (지은이)","차이정원","2023","","9791191360721","63",
"36","인생의 허무를 어떻게 할 것인가 ","지은이: 김영민","사회평론아카데미","2022","","9791167070791","63",
"40","배니시드 =김도윤 장편소설 /Vanished ","지은이: 김도윤","팩토리나인","2023","","9791165346928","62",
"40","우리가 운명이라고 불렀던 것들 :그 모든 우연이 모여 오늘이 탄생했다 ","슈테판 클라인 지음 ;유영미 옮김","콘텐츠그룹 포레스트","2023","","9791192625270","62",
"42","잊혀진 계절 :어느 교수의 전쟁","지은이: 김도형","AS","2022","2","9791197732713","61",
"43","챗GPT에게 묻는 인류의 미래 :김대식 교수와 생성인공지능의 대화 ","지은이: 김대식,추서연","동아시아","2023","","9788962624847","60",
"44","초거대 위협 :앞으로 모든 것을 뒤바꿀 10가지 위기 ","누리엘 루비니 지음 ;박슬라 옮김","한경BP","2023","","9788947548779","59",
"44","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","1","9788973378319","59",
