title,author,genre_1,genre_2,brank,rate,count,isbn
주류 창업을 위한 주류면허 길라잡이,김우영 외,"경제/경영, ","유통/창업, 창업, ",951,10.0,1.0,9791185455297
IFRS 중급회계(11판),정운오 외,"경제/경영, 경제/경영, 대학교재, ","세무/회계, 중급/고급/재무회계, 대학교재, 경제/경영, ",952,0.0,,9788942009428
"농업, 트렌드가 되다(MK 에디션)",민승규 외,"경제/경영, ","경제일반, 경제전망, ",953,10.0,2.0,9791164841233
마케팅원론,안광호 외,"경제/경영, 경제/경영, 대학교재, ","마케팅/광고/고객, 마케팅이론, 대학교재, 경제/경영, ",954,10.0,4.0,9788958535881
디지털 헬스케어는 어떻게 비즈니스가 되는가 2: 실전편,김치원,"경제/경영, 기술/공학, ","경제일반, 경제전망, 의학, 의학이론, ",955,10.0,1.0,9791198120984
디지털 헬스케어는 어떻게 비즈니스가 되는가 1,김치원,"경제/경영, 기술/공학, ","경제일반, 경제전망, 의학, 의학이론, ",956,0.0,,9791198120977
나는 자본금 0원으로 창업했다,하동균,"경제/경영, ","유통/창업, 창업, ",957,10.0,10.0,9791164845194
IFRS 실무회계,나규세,"경제/경영, 경제/경영, 대학교재, ","세무/회계, 중급/고급/재무회계, 대학교재, 경제/경영, ",958,8.5,4.0,9791139209181
15억 작은 부자 현주씨의 돈 관리 습관,김경필,"경제/경영, ","재테크/금융, 재테크, ",959,7.81,7.0,9791191636505
아이디어가 팔리는 순간,탬슨 웹스터,"경제/경영, ","마케팅/광고/고객, 광고/홍보/브랜드, ",960,10.0,29.0,9791139710328
앰비언트,김학용,"경제/경영, ","경제일반, 디지털경제, ",961,10.0,11.0,9791164161386
개인사업자 자영업 홈택스 경리회계 노무관리 실무설명서,손원준,"경제/경영, 경제/경영, ","세무/회계, 세무회계, 경영관리, 인사/총무/임금, ",962,10.0,9.0,9791190819206
나는 왜 네트워크마케팅을 하는가,윤은모,"경제/경영, ","마케팅/광고/고객, 네트워크/텔레마케팅, ",963,10.0,1.0,9791188544936
슬기로운 법인 컨설팅,정원덕 외,"경제/경영, 경제/경영, ","세무/회계, 법인세, 경영관리, 경영관리/기업경영, ",964,8.33,2.0,9791139208641
AI 혁명의 미래,정인성 외,"경제/경영, ","경제일반, 경제전망, ",965,10.0,9.0,9791191328745
합법적으로 세금 안 내는 110가지 방법: 기업편(2023),신방수,"경제/경영, ","재테크/금융, 재테크, ",966,10.0,7.0,9791157747337
교통사고 보상 에세이,백주민,"경제/경영, ","재테크/금융, 보험, ",967,10.0,1.0,9791198007308
급여관리 수당관리 퇴직연금 4대 보험 급여 세금 실무설명서,손원준,"경제/경영, ","세무/회계, 기업회계, ",968,9.55,6.0,9791190819138
홍익희의 신 유대인 이야기,홍익희,"경제/경영, ","경제일반, 경제상식/경제이야기, ",969,10.0,7.0,9791191334999
하나부터 열까지 신경 쓸 게 너무 많은 브랜딩,박지현,"경제/경영, ","마케팅/광고/고객, 광고/홍보/브랜드, ",970,9.64,12.0,9791188969661
"프랜차이즈 1,000호점 만들기",김진석,"경제/경영, ","유통/창업, 창업, ",971,10.0,1.0,9791189254773
"팬시, 취향을 삽니다",최수하,"경제/경영, ","마케팅/광고/고객, 소비자/고객/CS, ",972,9.85,14.0,9791130695242
보험금 WHY,윤용찬,"경제/경영, ","재테크/금융, 보험, ",973,0.0,,9791187059813
보험금 How,윤용찬,"경제/경영, ","재테크/금융, 보험, ",974,10.0,1.0,9791187059820
부동산 경매 오늘부터 1일,김재범,"경제/경영, ","재테크/금융, 부동산, ",975,10.0,4.0,9791190238694
리츠의 비밀,서원형,"경제/경영, 경제/경영, ","재테크/금융, 부동산, 재테크/금융, 재테크, ",976,9.0,17.0,9791196643195
프롭테크 부동산의 새로운 흐름,이상용,"경제/경영, ","재테크/금융, 부동산, ",977,9.94,36.0,9791198062703
월 천만 원 수익화 계정 만드는 SNS 마케팅 & 브랜딩,이보영,"경제/경영, 경제/경영, ","경영전략, e-비즈니스, 마케팅/광고/고객, 인터넷마케팅, ",978,9.32,6.0,9791185455259
부동산 트렌드 2023,김경민,"경제/경영, 경제/경영, ","재테크/금융, 부동산, 경제일반, 경제전망, ",979,9.73,55.0,9791189328504
TM영업으로 억대 연봉 버는 비법,아이스 강,"경제/경영, ","마케팅/광고/고객, 영업/판매, ",980,10.0,7.0,9791164844609
인사관리와 고용관계,최중락,"경제/경영, 경제/경영, 대학교재, ","경영관리, 인사/총무/임금, 대학교재, 경제/경영, ",981,10.0,21.0,9791161372686
현금흐름 분석과 현금흐름표 작성(2022),박길동,"경제/경영, ","세무/회계, 기업회계, ",982,10.0,1.0,9791167841032
2023 한국이 열광할 세계 트렌드,KOTRA,"경제/경영, ","경제일반, 경제전망, ",983,10.0,13.0,9791169253314
카페 스타트업 북,구대회,"경제/경영, ","유통/창업, 창업, ",984,10.0,1.0,9791197973703
팀장의 본질,장윤혁,"경제/경영, 자기계발, 자기계발, ","경영관리, 조직관리, 비즈니스능력계발, 리더십향상, 비즈니스능력계발, 대리/과장/팀장, ",985,10.0,10.0,9791191825602
집값의 이해,이상현,"경제/경영, ","재테크/금융, 부동산, ",986,0.0,,9788946082212
채권기초,김형호,"경제/경영, ","재테크/금융, 금융경제, ",987,10.0,7.0,9791192515113
미국 주식이 답이다 2023,장우석 외,"경제/경영, ","재테크/금융, 주식/증권, ",988,9.86,11.0,9791190977845
세계미래보고서 2023(메가 크라이시스 이후 새로운 부의 기회),박영숙 외,"경제/경영, ","경제일반, 경제전망, ",989,9.82,55.0,9791162543047
절세의 모든 기술 부동산 법인에 있다!,이상욱,"경제/경영, 경제/경영, ","재테크/금융, 부동산, 재테크/금융, 재테크, ",990,10.0,3.0,9791164844623
쇼킹부동산 3: 역전세대란,쇼킹부동산,"경제/경영, ","재테크/금융, 부동산, ",991,9.29,18.0,9791186152225
화폐전쟁 5,쑹훙빙,"경제/경영, ","재테크/금융, 금융경제, ",992,10.0,5.0,9788925577449
이코노미스트 홍춘욱 투자에도 순서가 있다,홍춘욱,"경제/경영, ","재테크/금융, 재테크, ",993,9.73,46.0,9788925577500
현명한 지표 투자,고재홍(재콩) 외,"경제/경영, ","재테크/금융, 주식/증권, ",994,9.39,23.0,9791191328660
발품 팔아 꼬마빌딩,오동협,"경제/경영, ","재테크/금융, 부동산, ",995,10.0,16.0,9788957822166
7가지 코드,닐 메타 외,"경제/경영, 경제/경영, ","경영전략, e-비즈니스, 마케팅/광고/고객, 인터넷마케팅, ",996,9.17,11.0,9791155815144
아하부장의 창업 클라쓰,아하부장,"경제/경영, 경제/경영, ","유통/창업, 창업, 유통/창업, 창업, ",997,8.67,8.0,9791188801206
"경제 위기, 나는 부동산 경매로 다시 일어났다",제이원,"경제/경영, ","재테크/금융, 부동산, ",998,9.72,21.0,9791195763658
나는 천천히 부자가 되기로 했다,조너선 클레먼츠,"경제/경영, 경제/경영, ","재테크/금융, 재테크, 재테크/금융, 재테크, ",999,9.17,9.0,9788901238999
한 권으로 읽는 101개국 101가지 핵심 키워드,만딥 라이,"경제/경영, ","경제일반, 경제상식/경제이야기, ",901,0.0,,9791168320529
지금은 땅이 기회다,정병철(정프로),"경제/경영, ","재테크/금융, 부동산, ",902,0.0,,9791164845811
마케팅이 돈이 되는 순간,아메미야 간지,"경제/경영, ","마케팅/광고/고객, 마케팅전략, ",903,0.0,,9791198148230
작은 병원 생존 마케팅,김세희,"경제/경영, 기술/공학, ","마케팅/광고/고객, 마케팅전략, 의학, 병원경영, ",904,0.0,,9791190836845
인공지능 시대에 천만 새로운 일자리 만들기,장준호 외,"경제/경영, ","경제일반, 경제전망, ",905,0.0,,9791158589332
메타버스 유토피아,마크 반 리메,"경제/경영, 경제/경영, 경제/경영, 정치/사회, ","경제일반, 경제상식/경제이야기, 경영전략, e-비즈니스, 마케팅/광고/고객, 인터넷마케팅, 사회학, 미래학, ",906,10.0,1.0,9788950985141
