title,author,genre_1,genre_2,brank,rate,count,isbn
물리학자가 들려주는 물리학 이야기,다나카 미유키 외,"과학, 과학, 청소년, ","교양과학, 교양물리, 청소년 교양과학, 청소년 과학/컴퓨터, ",951,10.0,9.0,9791163635659
수학 탐구를 위한 종이접기 프로젝트,토머스 헐,"과학, 과학, 대학교재, ","수학, 수학일반, 대학교재, 수학, 자연과학, 수학, ",952,7.5,1.0,9791160735178
현대 물리학의 논리,퍼시 윌리엄스 브리지먼,"과학, ","물리학, 물리학일반, ",953,10.0,1.0,9788957337806
수학하는 뇌,안드레아스 니더,"과학, ","교양과학, 교양수학/수학이야기, ",954,10.0,5.0,9791166890802
숫자에 속지 않고 숫자 읽는 법,톰 치버스 외,"과학, 인문, ","교양과학, 교양수학/수학이야기, 인문학일반, 인문교양, ",955,9.35,25.0,9788934961734
기후학,이승호,"과학, 과학, 대학교재, ","지구과학, 기상학/기후학, 대학교재, 지학/광물학, 자연과학, 지학/광물학, ",956,7.5,1.0,9788962919554
과학페어(과학토론)대회,박진국,"과학, ","교양과학, 과학이야기, ",957,10.0,3.0,9791197779312
수학이 쉬워지는 인도베다수학,김경중,"과학, ","교양과학, 교양수학/수학이야기, ",958,9.17,8.0,9791164460496
퍼스트 스텝,제레미 드실바,"과학, ","교양과학, 교양유전, ",959,9.17,3.0,9791135474552
STEIN 푸리에 해석학,Elias M. Stein 외,"과학, 과학, 대학교재, ","수학, 해석학, 대학교재, 수학, 자연과학, 수학, ",960,10.0,1.0,9791156645962
식물의 죽살이,이유,"과학, 과학, 대학교재, ","생물학, 식물학, 대학교재, 식물학, 자연과학, 식물학, ",961,10.0,1.0,9788978894920
물리발상법,이나바 야스히로,"과학, 과학, 대학교재, ","물리학, 물리학일반, 대학교재, 물리학, 자연과학, 물리학, ",962,10.0,1.0,9791197338014
그림으로 읽는 서양과학사,김성근,"과학, ","과학이론, 과학의역사, ",963,9.17,4.0,9791188569342
미적분학,미적분학 교재편찬위원회,"과학, 과학, 대학교재, ","수학, 미분적분학, 대학교재, 수학, 자연과학, 수학, ",964,0.0,,9791159714139
나를 발견하는 뇌과학,사라-제인 블레이크모어,"과학, ","교양과학, 뇌과학, ",965,9.44,10.0,9788983928955
공학수학 문제풀이,텍스트북스 편집부,"과학, 과학, 대학교재, ","수학, 공업수학/대학수학, 대학교재, 수학, 자연과학, 수학, ",966,7.5,2.0,9791191679106
대학 미분적분학,이정례,"과학, 과학, 대학교재, ","수학, 미분적분학, 대학교재, 수학, 자연과학, 수학, ",967,10.0,1.0,9791125103455
식물 분류학 개론: 한국의 관속식물,김재근,"과학, 과학, 대학교재, ","생물학, 식물학, 대학교재, 식물학, 자연과학, 식물학, ",968,0.0,,9788961543897
현대물리학,Beiser 외,"과학, 과학, 대학교재, ","물리학, 물리학일반, 대학교재, 물리학, 자연과학, 물리학, ",387,9.1,20.0,9791132102250
노영순교수의 위상수학,노영순,"과학, 과학, 대학교재, ","수학, 기하학, 대학교재, 수학, 자연과학, 수학, ",970,0.0,,9788962362169
악령이 출몰하는 세상,칼 세이건,"과학, ","교양과학, 과학이야기, ",971,9.88,75.0,9791192107226
다변수 함수론 입문,김종진 외,"과학, 과학, 대학교재, ","수학, 미분적분학, 대학교재, 수학, 자연과학, 수학, ",972,10.0,1.0,9791160735192
해석학개론,강병개 외,"과학, 과학, 대학교재, ","수학, 해석학, 대학교재, 수학, 자연과학, 수학, ",973,0.0,,9791160735246
미적분과 벡터해석 기초 with Python,심성아 외,"과학, 과학, 대학교재, ","수학, 미분적분학, 대학교재, 수학, 자연과학, 수학, ",974,0.0,,9791160735314
양자화학 입문,S. M. Blinder,"과학, 과학, 대학교재, ","화학, 화학이론, 대학교재, 화학, 자연과학, 화학, ",975,8.33,2.0,9791188731282
다이얼로그 물리학 4: 상대성이론·양자역학,이공주복,"과학, ","물리학, 물리학일반, ",976,10.0,2.0,9791158904562
내 생의 중력에 맞서,정인경,"과학, 인문, ","교양과학, 과학이야기, 인문학일반, 인문교양, ",977,9.86,14.0,9791160407747
물고기 박사가 들려주는 신기한 바다 이야기(큰글씨책),명정구,"과학, ","교양과학, 교양생물, ",978,10.0,1.0,9791168610132
문학과 수학 etc.,김태화,"과학, ","교양과학, 교양수학/수학이야기, ",979,5.0,1.0,9791125103523
동네에서 자연을 관찰하는 9가지 방법,최성용,"과학, ","교양과학, 교양자연, ",980,0.0,,9791185415475
기초미적분학: Precalculus,문은호 외,"과학, 과학, 대학교재, ","수학, 미분적분학, 대학교재, 수학, 자연과학, 수학, ",981,0.0,,9788973354061
공학수학 with MATLAB(상),송철기 외,"과학, 과학, 대학교재, ","수학, 공업수학/대학수학, 대학교재, 수학, 자연과학, 수학, ",982,0.0,,9788964214336
알기 쉬운 고분자 이야기,박오옥,"과학, 과학, 대학교재, ","화학, 고분자화학, 대학교재, 화학, 자연과학, 화학, ",983,8.75,3.0,9791158083472
사로잡힌 사람들,이브 러플랜트,"과학, ","교양과학, 뇌과학, ",984,7.5,1.0,9791159923548
"Ai-X, 인공지능 익스프레스",임창환 외,"과학, ","교양과학, 과학이야기, ",985,10.0,3.0,9791167960986
기초 분자생물학 실험: 유전자 재조합 전과정,최미영 외,"과학, 과학, 대학교재, ","생물학, 분자생물학, 대학교재, 생명과학, 자연과학, 생명과학, ",986,10.0,2.0,9788961543927
1 더하기 1은 2인가,존 배로,"과학, ","교양과학, 교양수학/수학이야기, ",987,9.75,13.0,9788934951308
AI는 세상을 어떻게 바꾸는가,장동선,"과학, 컴퓨터/IT, ","교양과학, 과학이야기, 컴퓨터공학, 인공지능, ",988,9.76,16.0,9788934949213
다정함의 과학,켈리 하딩,"과학, ","교양과학, 과학이야기, ",989,9.58,48.0,9791165218386
우리는 연결되어 있다,톰 올리버,"과학, ","교양과학, 과학이야기, ",990,9.62,7.0,9791135473791
생화학 실험서,김영희,"과학, 과학, 대학교재, ","생물학, 생화학, 대학교재, 생명과학, 자연과학, 생명과학, ",991,0.0,,9788958813101
한영 수학 용어 총정리,최창우,"과학, ","수학, 수학일반, ",992,0.0,,9791125103431
Newton의 운동법칙,Sanjoy Mahajan,"과학, 과학, 대학교재, ","물리학, 물리학일반, 대학교재, 물리학, 자연과학, 물리학, ",993,0.0,,9791185294353
"오늘은, 별자리 여행",지호진,"과학, 과학, 청소년, ","교양과학, 별자리, 청소년 교양과학, 청소년 과학/컴퓨터, ",994,9.67,19.0,9791190779494
이렇게 인간이 되었습니다,박재용,"과학, ","교양과학, 교양유전, ",995,9.77,10.0,9791190116602
DNA 클로닝,최석용 외,"과학, ","교양과학, 교양유전, ",996,7.5,1.0,9788961543934
고체화학,Elaine A. Moore 외,"과학, 과학, 대학교재, ","화학, 화학이론, 대학교재, 화학, 자연과학, 화학, ",997,10.0,1.0,9791158083076
키스 더 유니버스,KBS 키스더유니버스 제작팀,"과학, 과학, ","교양과학, 교양우주, 천문학, 교양천문학, ",998,9.64,5.0,9791168210103
프렌즈,로빈 던바,"과학, 인문, ","교양과학, 과학이야기, 인문학일반, 인문교양, ",999,9.57,24.0,9791167740250
테크놀로지의 정치,실라 재서노프,"과학, 기술/공학, ","교양과학, 과학이야기, 공학일반, 기술공학일반, ",1000,0.0,,9788936479015
우주미션 이야기,황정아,"과학, ","교양과학, 교양우주, ",901,9.5,3.0,9791188569380
호모 커먼스,홍윤철,"과학, ","교양과학, 과학이야기, ",902,10.0,1.0,9791191393972
아주 작은 죽음들,브루스 골드파브,"과학, ","교양과학, 과학이야기, ",903,0.0,,9788925577579
화이트 스카이,엘리자베스 콜버트,"과학, ","교양과학, 교양우주, ",904,10.0,13.0,9791165345532
노화학 사전,최현석,"과학, 기술/공학, ","교양과학, 과학이야기, 의학, 기초의학, ",905,10.0,2.0,9791192085647
이런 화학이라면 포기하지 않을 텐데,김소환,"과학, ","교양과학, 교양화학, ",906,9.38,5.0,9788964945735
행동신경과학: 생물심리학 입문,Laura A. Freberg,"과학, 인문, 과학, 과학, 대학교재, ","생물학, 생물과학, 심리학, 심리이론, 교양과학, 뇌과학, 대학교재, 생명과학, 자연과학, 생명과학, ",907,10.0,3.0,9791167070722
범주형 자료분석 개론: SAS와 R의 응용 및 해석,양호진 외,"과학, 과학, 대학교재, ","수학, 통계, 대학교재, 수학, 자연과학, 수학, ",908,10.0,1.0,9791158083694
다정한 물리학,해리 클리프,"과학, ","교양과학, 교양물리, ",909,9.27,85.0,9791130693057
기초통계학과 데이터 사이언스: R 활용,오진호,"과학, 과학, 대학교재, ","수학, 통계, 대학교재, 수학, 자연과학, 수학, ",910,0.0,,9791158083779
선형방법론,구자용 외,"과학, 과학, 대학교재, ","수학, 통계, 대학교재, 수학, 자연과학, 수학, ",911,10.0,1.0,9791158083762
내 몸 안의 뇌와 마음탐험 신경정신의학,고시노 요시후미,"과학, ","교양과학, 과학이야기, ",912,0.0,,9791188544899
그림으로 읽는 친절한 우주과학 이야기,인포비주얼 연구소,"과학, 과학, ","교양과학, 과학이야기, 교양과학, 교양우주, ",913,10.0,2.0,9791197404337
최신 고체물리학,이종수,"과학, 과학, 대학교재, ","물리학, 물리학일반, 대학교재, 물리학, 자연과학, 물리학, ",914,7.5,1.0,9788936323875
물리학자처럼 영화 보기,다카미즈 유이치,"과학, 예술/대중문화, ","교양과학, 교양물리, 영화, 영화이야기, ",915,10.0,10.0,9791190147484
공업수학,임헌찬,"과학, 과학, 대학교재, ","수학, 공업수학/대학수학, 대학교재, 수학, 자연과학, 수학, ",916,0.0,,9788938115034
텔로스 2: 변형과정에 있는 인류의 깨어남을 위해서,오릴리아 루이즈 존스,"과학, ","교양과학, 과학이야기, ",917,0.0,,9788994287270
미생물: 잠 못들 정도로 재미있는 이야기,야마가타 요헤이,"과학, ","생물학, 미생물학, ",918,10.0,3.0,9788931558241
머릿속에 쏙쏙! 상대성이론 노트,사이토 가쓰히로,"과학, ","물리학, 물리학일반, ",919,10.0,4.0,9791168620414
그래서 우리는 달에 간다,곽재식,"과학, ","교양과학, 교양우주, ",920,10.0,37.0,9788962624427
통계학 도감,정석오,"과학, ","수학, 통계, ",921,9.45,51.0,9788931582598
과학혁명의 기원,오퍼 갤,"과학, ","과학이론, 과학철학, ",922,10.0,1.0,9788991195622
양성덕의 미분기하강의 2편,양성덕,"과학, 과학, 대학교재, ","수학, 기하학, 대학교재, 수학, 자연과학, 수학, ",923,10.0,1.0,9791125103592
모든 순간의 과학,브라이언 클레그,"과학, ","교양과학, 과학이야기, ",924,9.57,29.0,9788934943433
지구를 구한다는 거짓말,스티븐 E. 쿠닌,"과학, 정치/사회, 과학, ","교양과학, 교양우주, 사회문제/복지, 사회문제, 지구과학, 기상학/기후학, ",925,9.65,58.0,9788947548311
미식가를 위한 식물 사전,스쥔,"과학, 시/에세이, 요리, ","교양과학, 교양식물, 나라별 에세이, 중국에세이, 요리에세이, ",926,9.38,6.0,9791139706642
