title,author,genre_1,genre_2,brank,rate,count,isbn
알고 보면 무시무시한 엽기인물 세계사,호리에 히로키,"역사/문화, 시/에세이, 역사/문화, 역사/문화, ","세계사, 교양세계사, 인물/자전적에세이, 역사인물, 세계사, 세계역사인물, 역사인물, 세계역사인물, ",951,10.0,9.0,9791188635542
음식을 공부합니다,주영하,"역사/문화, 역사/문화, 역사/문화, ","문화일반, 음식문화, 한국사, 한국문화사, 문화사, 한국문화사, ",952,9.92,69.0,9791160807332
자치통감 35: 권205~권210,사마광,"역사/문화, ","동양사, 중국사, ",953,0.0,,9791158263850
한국사 간신열전,최용범 외,"역사/문화, ","한국사, 한국통사, ",954,10.0,4.0,9791190475914
브루넬레스키의 돔,로스 킹,"역사/문화, 역사/문화, ","서양사, 유럽사, 문화사, 유럽문화사, ",955,9.29,9.0,9791196324131
팔레스타인 100년 전쟁,라시드 할리디,"역사/문화, ","동양사, 이스라엘/유대인, ",956,10.0,56.0,9788932921488
세계사를 바꾼 50가지 동물,제이콥 필드,"역사/문화, ","세계사, 교양세계사, ",957,10.0,3.0,9791167960085
권력이동으로 보는 한국사,이정철,"역사/문화, ","한국사, 한국통사, ",958,10.0,6.0,9788976964496
왕PD의 토크멘터리 조선왕조실록,왕현철,"역사/문화, ","한국사, 조선시대, ",959,9.06,17.0,9791190238670
"소재, 인류와 만나다",홍완식,"역사/문화, ","세계사, 교양세계사, ",960,9.38,5.0,9788976331144
허진모 삼국지 1,허진모 외,"역사/문화, ","동양사, 중국사, ",961,9.69,8.0,9791195776887
허진모 삼국지 2,허진모 외,"역사/문화, ","동양사, 중국사, ",962,9.42,7.0,9791195776894
천년왕국 신라의 운명을 바꾼 사람들,이부오,"역사/문화, ","한국사, 삼국시대, ",963,9.17,2.0,9791190429207
문화재를 위한 보존 방법론,서정호,"역사/문화, ","문화일반, 유적/유물, ",964,0.0,,9788949949895
상상력의 전시장 엑스포,오룡,"역사/문화, ","역사일반, 문명/문명사, ",965,2.5,2.0,9788988964552
세계 문화 여행: 핀란드,테르투 레니 외,"역사/문화, 역사/문화, ","서양사, 유럽사, 문화사, 유럽문화사, ",966,0.0,,9791191307849
세계 문화 여행: 러시아,안나 킹 외,"역사/문화, 역사/문화, 역사/문화, ","서양사, 유럽사, 서양사, 러시아사, 문화사, 유럽문화사, ",967,0.0,,9791191307757
그림으로 보는 돈의 역사,한명훈,"역사/문화, ","세계사, 교양세계사, ",968,9.44,73.0,9791166831461
대변혁 2: 19세기의 역사풍경,위르겐 오스터함멜,"역사/문화, ","세계사, 세계사이야기, ",969,10.0,13.0,9788935665006
1페이지 한국사 365(큰글자도서),심용환,"역사/문화, 시/에세이, 역사/문화, 역사/문화, 역사/문화, 청소년, ","한국사, 한국통사, 인물/자전적에세이, 역사인물, 한국사, 한국역사인물, 역사인물, 한국역사인물, 청소년 역사, 청소년 역사, ",970,0.0,,9791191825138
송본역대지리지장도,한국학자료원 편집부,"역사/문화, ","동양사, 중국사, ",971,10.0,1.0,9791191175370
아틀라스 중앙유라시아사,김호동,"역사/문화, ","동양사, 동양사일반, ",972,9.86,40.0,9788958289326
메소아메리카 전통의 꼬스모비시온 ‘신과 인간’,한국외국어대학교 중남미연구소,"역사/문화, ","서양사, 라틴아메리카사, ",973,0.0,,9788946073319
메소아메리카 전통의 꼬스모비시온 ‘우주와 신성’,알프레도 로뻬스 아우스띤,"역사/문화, ","서양사, 라틴아메리카사, ",974,0.0,,9788946073302
로마 시티 ROME CITY,이상록,"역사/문화, ","서양사, 유럽사, ",975,9.8,165.0,9791191432183
중국은 역사상 한국의 일부였다,심백강,"역사/문화, ","한국사, 한국고대사, ",976,10.0,4.0,9791195284214
역사도시 충주의 발자취와 기억,전홍식,"역사/문화, ","민속학, 지방/향토, ",977,0.0,,9791138801874
주철희의 여순항쟁 답사기 1,주철희,"역사/문화, 역사/문화, 여행, ","한국사, 근현대사, 역사기행, 역사기행일반, 테마여행, 역사기행, ",978,10.0,1.0,9791155222874
김성곤의 중국한시기행 1(큰글자책),김성곤,"역사/문화, 여행, ","역사기행, 중국역사기행, 테마여행, 역사기행, ",979,10.0,2.0,9788934903017
김성곤의 중국한시기행 2(큰글자책),김성곤,"역사/문화, 여행, ","역사기행, 중국역사기행, 테마여행, 역사기행, ",980,0.0,,9788934903024
우즈베키스탄의 역사,성동기,"역사/문화, ","동양사, 중국사, ",981,8.13,4.0,9791190631297
대한민국 기적과 위기의 현대사,박완석,"역사/문화, ","한국사, 근현대사, ",982,10.0,2.0,9788956768670
"아이링, 칭링, 메이링",장융,"역사/문화, ","동양사, 중국사, ",983,9.66,24.0,9788972917489
대한민국 돼지 이야기,최승철 외,"역사/문화, ","문화일반, 음식문화, ",984,10.0,6.0,9791191739008
왕안석 평전,이근명,"역사/문화, 시/에세이, 역사/문화, 역사/문화, ","세계사, 세계역사인물, 인물/자전적에세이, 역사인물, 동양사, 중국사, 역사인물, 세계역사인물, ",985,10.0,1.0,9788979404517
43년의 지배자들,Dr. J,"역사/문화, ","한국사, 근현대사, ",986,0.0,,9791191292176
"가짜 남편 만들기, 1564년 백씨 부인의 생존전략",강명관,"역사/문화, ","한국사, 조선시대, ",987,6.25,2.0,9791156122029
오정윤 한국통사 1: 선사시대부터 삼국시대까지,오정윤,"역사/문화, ","한국사, 한국통사, ",988,10.0,2.0,9791191215168
세계사를 바꾼 10가지 감염병,조지무쇼,"역사/문화, 기술/공학, 기술/공학, ","세계사, 교양세계사, 의학, 의학이론, 의학, 내과, ",989,9.74,31.0,9791188635498
바빌론의 역사,카렌 라드너,"역사/문화, 역사/문화, ","서양사, 서양사일반, 역사일반, 문명/문명사, ",990,9.38,25.0,9791190357715
헤엄치는 인류,하워드 민즈,"역사/문화, ","세계사, 교양세계사, ",991,10.0,5.0,9791191464450
제주 북쪽,현택훈,"역사/문화, ","민속학, 지방/향토, ",992,9.55,19.0,9788950996840
진붕: 진시황에서 유방까지,리카이위안,"역사/문화, ","동양사, 중국사, ",993,9.25,11.0,9788967359331
초망: 항우에서 한신까지,리카이위안,"역사/문화, ","동양사, 중국사, ",994,9.58,6.0,9788967359348
뭉우리돌의 바다,김동우,"역사/문화, ","한국사, 개화기, ",995,10.0,9.0,9791190382434
무령왕릉의 비밀,오운홍,"역사/문화, ","문화일반, 유적/유물, ",996,10.0,7.0,9788965113591
도시의 두 얼굴,조윤민,"역사/문화, ","민속학, 지방/향토, ",997,0.0,,9791196566999
자치통감 18: 권103~권108,사마광,"역사/문화, ","동양사, 중국사, ",998,0.0,,9791158263683
영국 빅토리아 시대의 라이프 스타일,Cha Tea 홍차 교실,"역사/문화, 역사/문화, ","서양사, 유럽사, 문화사, 유럽문화사, ",999,9.58,12.0,9791127445775
"힌두교사 깊이 읽기, 종교학이 아닌 역사학으로",이광수,"역사/문화, 종교, ","세계사, 교양세계사, 그외종교, 힌두교, ",1000,9.58,6.0,9791156121992
사기영선(영인본),정조,"역사/문화, 인문, ","한국사, 조선시대, 문헌정보학, 고문서, ",901,0.0,,9791162472620
국권과 문명,김도형,"역사/문화, ","한국사, 근현대사, ",902,0.0,,9788942391028
전쟁의 역설,이언 모리스,"역사/문화, 정치/사회, ","세계사, 교양세계사, 국방/군사, 전쟁/전쟁사, ",903,9.85,12.0,9788920042478
당쟁사 이야기,이성무,"역사/문화, ","한국사, 조선시대, ",904,8.5,6.0,9791167090096
마야 루트,송영복,"역사/문화, 여행, ","역사기행, 역사기행일반, 테마여행, 역사기행, ",905,0.0,,9788996937456
잘못 배운 한국사,신복룡,"역사/문화, ","한국사, 한국통사, ",906,9.17,4.0,9788930319256
"오군, 오군, 사아이거호",이경수,"역사/문화, ","한국사, 조선시대, ",907,0.0,,9788933707982
한 권으로 읽는 세계사,다마키 도시아키,"역사/문화, ","세계사, 세계사이야기, ",908,10.0,9.0,9791188635580
아랍,유진 로건,"역사/문화, ","동양사, 중동/기타, ",909,7.86,4.0,9788972917595
미국인 이야기 2: 전쟁의 서막(1770~1780),로버트 미들코프,"역사/문화, ","서양사, 미국사, ",910,10.0,13.0,9791162732021
미국인 이야기 1: 독립의 여명(1753~1770),로버트 미들코프,"역사/문화, ","서양사, 미국사, ",911,9.9,16.0,9791162732014
우리가 몰랐던 동남아 이야기 4: 부패와 자각의 시대,신일용,"역사/문화, ","동양사, 동남아시아사, ",912,8.93,7.0,9791158588496
우리가 몰랐던 동남아 이야기 3: 독립과 냉전의 시대,신일용,"역사/문화, ","동양사, 동남아시아사, ",913,8.93,8.0,9791158588489
우리가 몰랐던 동남아 이야기 2: 탐욕과 정복의 시대,신일용,"역사/문화, ","동양사, 동남아시아사, ",914,8.93,10.0,9791158588472
우리가 몰랐던 동남아 이야기 1: 바다와 교류의 시대,신일용,"역사/문화, ","동양사, 동남아시아사, ",915,10.0,18.0,9791158588465
동아시아 세계질서의 종막,김기혁,"역사/문화, ","동양사, 동양사일반, ",916,10.0,3.0,9788967359782
지금 시작하는 그리스 로마 신화,양승욱,"역사/문화, ","신화, 그리스로마신화, ",917,9.74,48.0,9791189550585
42가지 사건으로 보는 투기의 세계사,토르스텐 데닌,"역사/문화, ","세계사, 교양세계사, ",918,8.97,23.0,9788901255347
역사에 없는 사람들의 미국사,로널드 다카키 외,"역사/문화, ","서양사, 미국사, ",919,8.75,2.0,9791187038825
차의 책,오카쿠라 텐신,"역사/문화, 요리, ","문화일반, 음식문화, 와인/커피/음료, 다도/차, ",920,10.0,1.0,9791191307979
뮌헨에서 시작된 대한민국의 기적,홍하상,"역사/문화, 시/에세이, 역사/문화, ","한국사, 한국역사인물, 인물/자전적에세이, 역사인물, 역사인물, 한국역사인물, ",921,9.06,5.0,9791186061855
민족의 영웅 안중근,전우용,"역사/문화, 시/에세이, 역사/문화, ","한국사, 한국역사인물, 인물/자전적에세이, 역사인물, 역사인물, 한국역사인물, ",922,9.92,23.0,9788935668878
농업·임업정책(1) 일제 식민농정-식량 관련 생산 및 유통·공출 정책,동북아역사재단 일제침탈사 편찬위원회,"역사/문화, ","한국사, 개화기, ",923,0.0,,9788961876964
한국식 청동무기의 동북아지역 전개,허준양,"역사/문화, ","한국사, 한국고대사, ",924,10.0,1.0,9788963474908
전시 노동력 동원 번역자료집 2,오일환 외,"역사/문화, 역사/문화, 대학교재, ","한국사, 개화기, 대학교재, 인문, 역사, ",925,0.0,,9788961877015
교육정책 2,강명숙 외,"역사/문화, ","한국사, 개화기, ",926,0.0,,9788961877190
전시 노동력 동원 번역자료집 1,오일환,"역사/문화, 역사/문화, 대학교재, ","한국사, 개화기, 대학교재, 인문, 역사, ",927,0.0,,9788961877008
구미학계의 중국사 인식과 한국사 서술 연구,동북아역사재단 한국고중세사연구소,"역사/문화, 역사/문화, ","동양사, 중국사, 한국사, 한국통사, ",928,10.0,1.0,9788961877107
조선총독부의 가족 정책: 식민주의와 가족 법 젠더,홍양희,"역사/문화, ","한국사, 개화기, ",929,0.0,,9788961876766
샌프란시스코평화조약 관련 자료집,정병준,"역사/문화, 역사/문화, ","지리학, 독도문제, 한국사, 개화기, ",930,0.0,,9788961876827
세상에서 가장 재미있는 사랑과 욕망 세계사,호리에 히로키,"역사/문화, ","세계사, 교양세계사, ",931,10.0,11.0,9791188635566
한국상고사 환국,심백강,"역사/문화, ","한국사, 한국고대사, ",932,9.72,6.0,9791195284221
이한우의 태종실록 별책,이한우,"역사/문화, ","한국사, 조선시대, ",933,0.0,,9788950998448
도시를 보호하라,권오영 외,"역사/문화, ","한국사, 근현대사, ",934,9.17,2.0,9788976965608
흥선대원군 평전,김종학,"역사/문화, 시/에세이, 역사/문화, ","한국사, 한국역사인물, 인물/자전적에세이, 역사인물, 역사인물, 한국역사인물, ",935,0.0,,9791160686449
고종 평전,이민원,"역사/문화, 시/에세이, 역사/문화, ","한국사, 한국역사인물, 인물/자전적에세이, 역사인물, 역사인물, 한국역사인물, ",936,0.0,,9791160686425
자동차의 역사,쿠르트 뫼저,"역사/문화, 기술/공학, ","세계사, 교양세계사, 자동차/운전, 자동차일반, ",937,0.0,,9791190901703
일제강점기 이왕직 연구,이왕무 외,"역사/문화, ","한국사, 개화기, ",938,10.0,1.0,9791158666736
송나라의 슬픔,샤오젠성,"역사/문화, ","동양사, 중국사, ",939,8.13,8.0,9788967359904
지도와 거짓말,마크 몬모니어,"역사/문화, ","지리학, 지리이야기, ",940,10.0,1.0,9788962919455
조선셰프 서유구,곽미경,"역사/문화, 시/에세이, 역사/문화, 역사/문화, ","한국사, 한국역사인물, 인물/자전적에세이, 역사인물, 문화일반, 음식문화, 역사인물, 한국역사인물, ",941,0.0,,9791189801496
악을 기념하라,김성환,"역사/문화, ","세계사, 교양세계사, ",942,10.0,1.0,9791163142263
은근 몰랐던 일본 문화사,조재면,"역사/문화, 역사/문화, ","동양사, 일본사, 문화사, 일본문화사, ",943,9.75,28.0,9788968333484
"전통, 조약, 장사",커크 W. 라슨,"역사/문화, ","한국사, 조선시대, ",944,10.0,2.0,9788998309053
나무 신화,도리스 라우데르트,"역사/문화, 역사/문화, ","서양사, 유럽사, 문화사, 유럽문화사, ",945,10.0,8.0,9788991555792
이 약 한번 잡숴 봐!,최규진,"역사/문화, ","한국사, 근현대사, ",946,7.5,1.0,9791192085043
일제의 전시 조선인 노동력 동원,허광무 외,"역사/문화, ","한국사, 개화기, ",947,0.0,,9788961876704
이집트 상형문자 배우기,강주현,"역사/문화, 역사/문화, ","서양사, 이집트사, 역사일반, 고고학, ",948,9.69,8.0,9791188239986
"그들은 로마를 만들었고, 로마는 역사가 되었다",김덕수,"역사/문화, ","서양사, 유럽사, ",949,9.78,36.0,9788950998325
중세를 오해하는 현대인에게,남종국,"역사/문화, ","서양사, 서양사일반, ",950,9.24,27.0,9791192085036
조선은 망할 수밖에 없었다 1,이행기,"역사/문화, ","한국사, 조선시대, ",851,10.0,1.0,9791167911759
