title,author,genre_1,genre_2,brank,rate,count,isbn
전수진 피아노 연습: 아르페지오,전수진,"예술/대중문화, ","음악, 건반악기, ",951,0.0,,9788991952720
연기예술을 논하다,조한준,"예술/대중문화, ","연극, 연기/작가/연출, ",952,10.0,1.0,9788955068610
한국 단청 연구,곽동해,"예술/대중문화, ","디자인/색채, 문양, ",953,10.0,1.0,9788955084566
소극 다음은 무엇?,핼 포스터,"예술/대중문화, ","미술, 교양미술, ",954,9.0,3.0,9791189356736
기억력 강화를 위한 시니어 꽃 컬러링북,고은정,"예술/대중문화, 건강, ","디자인/색채, 컬러링북, 건강일반, 노년건강, ",955,10.0,6.0,9791197529573
쇼팽 에튀드,젠온악보출판사 편집부,"예술/대중문화, ","음악, 작곡가별악보, ",956,10.0,1.0,9791167500328
모지스 할머니,이소영,"예술/대중문화, ","미술, 교양미술, ",957,10.0,4.0,9791191420821
시니어 색칠공부 첫걸음: 우리풍경 편,스마일시니어 편집부,"예술/대중문화, ","디자인/색채, 컬러링북, ",958,8.75,7.0,9791197714313
테이트 유화 수업,셀윈 리미,"예술/대중문화, ","미술, 미술실기/기법, ",959,10.0,11.0,9791197518546
뮤지컬 영화,민경원,"예술/대중문화, ","영화, 영화이야기, ",960,0.0,,9791128863202
티노씨 드로잉 첫걸음,티노씨(김명섭),"예술/대중문화, ","미술, 미술실기/기법, ",961,9.79,31.0,9791157684687
임영웅 IM Hero 악보집,장소라,"예술/대중문화, ","음악, 건반악기, ",962,10.0,3.0,9791197025327
꽃과 화초를 그리는 모던민화 컬러링북,이정희,"예술/대중문화, ","디자인/색채, 컬러링북, ",963,10.0,11.0,9791197529566
첼로를 위한 계이름 공부,이현정,"예술/대중문화, 예술/대중문화, ","음악, 관악기/현악기, 음악, 건반악기, ",964,10.0,2.0,9791167820686
일상의 소녀,송블리,"예술/대중문화, ","디자인/색채, 컬러링북, ",965,9.83,11.0,9788960305991
"현대미술, 이렇게 이해하면 되나요?",샘 필립스,"예술/대중문화, 예술/대중문화, ","예술일반, 예술사, 미술, 미술사, ",966,9.78,81.0,9791190118354
