title,author,genre_1,genre_2,brank,rate,count,isbn
나의 상상은 현실이 된다,이도원(클레어),"자기계발, ","성공/처세, 성공스토리, ",951,9.44,30.0,9791130679976
미라클 바디,루이스 L. 헤이,"자기계발, ","성공/처세, 자기관리/처세, ",952,10.0,5.0,9791197759703
끌어당김,안진환 외,"자기계발, ","성공/처세, 자기관리/처세, ",953,0.0,,9791197552816
소중한 나를 부자로 만들어주는 지혜,월레스 워틀스,"자기계발, ","성공/처세, 자기관리/처세, ",954,10.0,1.0,9791197552809
카이스트 명상 수업,이덕주,"자기계발, 인문, ","성공/처세, 자기관리/처세, 인문학일반, 인문교양, ",955,10.0,12.0,9791168122123
잡담의 힘,이노우에 도모스케,"자기계발, ","화술/협상, 대화/화술, ",956,10.0,17.0,9791191347548
엄마를 위한 미라클 모닝,최정윤,"자기계발, ","자기능력계발, 여성처세, ",957,9.82,16.0,9791191228748
데일카네기 자기관리론,데일 카네기,"자기계발, ","성공/처세, 카네기시리즈, ",958,9.69,11.0,9791190312493
존중의 힘,김찬배 외,"자기계발, ","성공/처세, 자기관리/처세, ",959,10.0,2.0,9791162620526
내 영혼을 다독이는 관계 심리학,우즈훙,"자기계발, 인문, ","인간관계, 인간관계일반, 심리학, 교양심리, ",960,9.41,236.0,9788972773566
성공한 사람들의 기상 후 1시간,벤자민 스폴 외,"자기계발, ","성공/처세, 자기관리/처세, ",961,9.59,28.0,9791166570469
이렇게 소통하면 모두 내 편이 된다,한창욱,"자기계발, ","화술/협상, 대화/화술, ",962,9.79,10.0,9791197705519
인생 전환의 심리학 수업,황시투안,"자기계발, 인문, ","성공/처세, 자기관리/처세, 심리학, 교양심리, ",963,9.59,204.0,9791158741310
모든 것을 결정하는 한 문장,백건필,"자기계발, 경제/경영, ","자기능력계발, 아이디어/창의성, 마케팅/광고/고객, 광고/홍보/브랜드, ",964,9.84,70.0,9788974250096
트리즈씽킹,신정호,"자기계발, ","자기능력계발, 아이디어/창의성, ",965,9.64,10.0,9791197042751
사람을 움직이는 피드백의 힘,리처드 윌리엄스,"자기계발, 자기계발, ","비즈니스능력계발, 리더십향상, 화술/협상, 설득/협상, ",659,10.0,1.0,9791197612992
하루 한 페이지 마음챙김,주디스 올로프,"자기계발, ","자기능력계발, 마인드콘트롤/감정, ",967,10.0,4.0,9788901254630
히든 해빗,크레이그 라이트,"자기계발, ","성공/처세, 자기관리/처세, ",968,9.51,28.0,9788935213658
시간을 선택하는 기술 블럭식스,정지하(룩말),"자기계발, ","자기능력계발, 시간관리, ",969,9.91,51.0,9791160077575
성공하는 사람들의 7가지 습관: 52주 실천 다이어리,스티븐 코비 외,"자기계발, ","성공/처세, 자기관리/처세, ",970,10.0,13.0,9788934980094
이상하게 돈 걱정 없는 사람들의 비밀,혼다 고이치,"자기계발, 자기계발, ","성공/처세, 자기관리/처세, 성공/처세, 성공스토리, ",971,9.5,30.0,9791157687503
최소 노력의 법칙,그렉 맥커운,"자기계발, ","성공/처세, 자기관리/처세, ",972,9.21,29.0,9788925579610
일 잘하는 공무원은 문장부터 다릅니다,박창식,"자기계발, ","자기능력계발, 독서/글쓰기, ",973,9.58,5.0,9791160406498
회복력 수업,류페이쉬안,"자기계발, ","자기능력계발, 마인드콘트롤/감정, ",974,9.74,16.0,9788901252520
나의 하루는 명상에서 시작된다,경서윤,"자기계발, 시/에세이, 시/에세이, ","자기능력계발, 마인드콘트롤/감정, 테마에세이, 명상/치유에세이, 나라별 에세이, 한국에세이, ",975,10.0,15.0,9791167850287
카네기 스피치론,데일 카네기,"자기계발, ","성공/처세, 카네기시리즈, ",976,10.0,5.0,9791185791081
말투가 고민이라면 유재석처럼,정재영,"자기계발, ","화술/협상, 대화/화술, ",977,9.64,20.0,9791166570353
빌리브 잇,제이미 컨 리마,"자기계발, 자기계발, ","자기능력계발, 여성처세, 성공/처세, 자기관리/처세, ",978,9.72,9.0,9791190826730
마음의 연금술,웨인 다이어,"자기계발, ","성공/처세, 삶의지혜/조언, ",979,9.79,43.0,9791162542293
일 잘하는 리더는 이것만 한다,이바 마사야스,"자기계발, ","비즈니스능력계발, 리더십향상, ",980,9.81,10.0,9788934945413
16년 차 월급쟁이 2년 만에 경제적 자유를 얻은 실천 독서법,독서부자 낙숫물,"자기계발, ","자기능력계발, 독서/글쓰기, ",981,9.54,40.0,9788935213580
멋지게 말하고 싶습니다,조관일,"자기계발, ","화술/협상, 대화/화술, ",982,9.55,11.0,9791130640013
"디바인 매트릭스, 느낌이 현실이 된다",그렉 브레이든,"자기계발, 인문, ","자기능력계발, 마인드콘트롤/감정, 심리학, 교양심리, ",983,9.39,28.0,9788934906957
슬기로운 미니멀 라이프,홍은실(슬엄생 리나),"자기계발, ","성공/처세, 자기관리/처세, ",984,9.74,28.0,9791197333712
부자의 사고법,나폴레온 힐,"자기계발, ","자기능력계발, 마인드콘트롤/감정, ",985,9.86,18.0,9788965964513
누구나 카피라이터,정철,"자기계발, 시/에세이, ","자기능력계발, 아이디어/창의성, 나라별 에세이, 한국에세이, ",986,9.7,34.0,9788968333187
인생을 어떻게 살면 좋겠냐고 묻는 아들에게,한창욱,"자기계발, ","성공/처세, 청년훈, ",987,9.68,354.0,9791191669022
내 뜻대로 이루어지는 힘,시오야 노부오,"자기계발, ","성공/처세, 자기관리/처세, ",988,9.77,12.0,9788986408713
1년 안에 AI 빅데이터 전문가가 되는 법: 심화편,서대호,"자기계발, 컴퓨터/IT, ","자기능력계발, 진로/직업/적성, IT일반, IT일반서, ",989,8.68,10.0,9791191214758
성장하는 오십은 늙지 않는다,정미숙,"자기계발, ","자기능력계발, 중년/퇴직/은퇴, ",990,9.87,15.0,9791190826594
필요가 피로가 되지 않게,인나미 아쓰시,"자기계발, ","성공/처세, 자기관리/처세, ",991,9.32,52.0,9791188469765
우리의 뇌는 어떻게 배우는가,스타니슬라스 드앤,"자기계발, ","자기능력계발, 학습/공부법, ",992,9.75,78.0,9791135499135
명상 습관,매슈 소콜로프,"자기계발, 건강, ","자기능력계발, 마인드콘트롤/감정, 운동/트레이닝, 명상, ",993,10.0,60.0,9791191528008
뜨겁게 나를 사랑한다,조성희,"자기계발, ","성공/처세, 자기관리/처세, ",994,9.84,32.0,9791187875130
심리학자에게 배우는 자존감 관계법,가토 다이조,"자기계발, 인문, ","자기능력계발, 마인드콘트롤/감정, 심리학, 교양심리, ",995,9.64,17.0,9791188635467
초보 공직자의 일머리,방문진,"자기계발, 자기계발, ","성공/처세, 직장처세, 비즈니스능력계발, 메모/문서서식, ",996,10.0,6.0,9788962451887
오늘부터 나는 브랜드가 되기로 했다,김키미,"자기계발, ","성공/처세, 자기관리/처세, ",997,9.51,42.0,9791190313858
킵고잉(Keep Going),오스틴 클레온,"자기계발, ","성공/처세, 자기관리/처세, ",998,9.52,18.0,9788927812098
나는 이제 마음 편히 살기로 했다,가바사와 시온,"자기계발, 건강, ","자기능력계발, 마인드콘트롤/감정, 건강일반, 건강이야기, ",999,10.0,19.0,9791191013153
보물지도,모치즈키 도시타카,"자기계발, ","성공/처세, 자기관리/처세, ",901,10.0,3.0,9788970342917
"무조건 통하는 피드백, 강점 말하기",이윤경,"자기계발, 자기계발, ","비즈니스능력계발, 리더십향상, 비즈니스능력계발, 대리/과장/팀장, ",902,10.0,14.0,9788968334085
시크릿(큰글자도서),론다 번,"자기계발, ","성공/처세, 자기관리/처세, ",903,0.0,,9788952246783
오늘의 법칙,로버트 그린,"자기계발, ","성공/처세, 자기관리/처세, ",904,9.27,58.0,9788972917571
나는 단단하게 살기로 했다,브래드 스털버그,"자기계발, ","성공/처세, 자기관리/처세, ",905,8.85,11.0,9788960519534
미라클 해빗 Q&A 다이어리,조성희,"자기계발, ","비즈니스능력계발, 다이어리/플래너, ",906,10.0,7.0,9791191825695
실수하지 않는 사람들의 사소한 습관,이이노 겐지 외,"자기계발, ","성공/처세, 자기관리/처세, ",907,0.0,,9791192403151
진짜 기획을 만나다,임영균,"자기계발, ","비즈니스능력계발, 기획력, ",908,10.0,4.0,9791185192635
하버드 새벽 4시 반(오리지널 초판본 에디션),웨이슈잉,"자기계발, ","성공/처세, 자기관리/처세, ",909,9.72,5.0,9791190906401
브랜드로 산다는 것,김진향,"자기계발, 자기계발, ","성공/처세, 자기관리/처세, 성공/처세, 성공스토리, ",910,10.0,4.0,9791197126222
루이스 헤이의 365일 긍정 확언 일력,루이스 헤이,"자기계발, ","성공/처세, 삶의지혜/조언, ",911,9.79,17.0,9791166570834
존재만으로 이미 충분한 당신,파나슈 데사이,"자기계발, ","자기능력계발, 마인드콘트롤/감정, ",912,10.0,6.0,9791191860221
하루 한 장 마음 일력,채환,"자기계발, ","성공/처세, 삶의지혜/조언, ",913,10.0,3.0,9788927809111
인생의 가장 결정적 시기에서,멕 제이,"자기계발, ","성공/처세, 삶의지혜/조언, ",914,7.5,4.0,9791140801640
다국어 동시 말하기 유대인을 넘다,진기석 외,"자기계발, ","자기능력계발, 학습/공부법, ",915,10.0,7.0,9791197986000
혼자가 편한 사람들,도리스 메르틴,"자기계발, ","인간관계, 인간관계일반, ",916,0.0,,9788963221939
성공을 쟁취하는 파워 실전 명상,자현,"자기계발, 건강, ","자기능력계발, 마인드콘트롤/감정, 운동/트레이닝, 명상, ",917,9.81,21.0,9791192476452
언어 천재들은 어떻게 말을 할까,정재영,"자기계발, ","화술/협상, 대화/화술, ",918,10.0,3.0,9788950941666
마케터의 글쓰기,이선미,"자기계발, ","자기능력계발, 독서/글쓰기, ",919,10.0,14.0,9791190710473
부자의 서재에는 반드시 심리학 책이 놓여 있다,정인호,"자기계발, 경제/경영, ","성공/처세, 성공스토리, 재테크/금융, 재테크, ",920,9.71,17.0,9791166570773
오십에 읽는 노자 도덕경,김옥림,"자기계발, ","자기능력계발, 고전처세, ",921,10.0,4.0,9791161692197
호감 가는 말투에는 비밀이 있다,장신웨,"자기계발, ","화술/협상, 대화/화술, ",922,9.67,178.0,9788972773641
오정근의 커리어 코칭,오정근,"자기계발, ","성공/처세, 자기관리/처세, ",923,9.17,9.0,9788966074310
변호사의 글쓰기 습관,문혜정,"자기계발, ","자기능력계발, 독서/글쓰기, ",924,9.58,14.0,9791191636321
완전 범죄 추리 게임,개러스 무어,"자기계발, ","성공/처세, 자기관리/처세, ",925,9.17,10.0,9788963221915
계속 가봅시다 남는 게 체력인데,정김경숙(로이스킴),"자기계발, ","성공/처세, 자기관리/처세, ",926,9.22,92.0,9788901262543
스카우트 마인드셋,줄리아 갈렙,"자기계발, ","성공/처세, 자기관리/처세, ",927,9.13,21.0,9791168412309
It Works(60쇄 기념 개정증보 리커버 에디션),RHJ,"자기계발, ","성공/처세, 자기관리/처세, ",928,6.64,17.0,9791164844326
직장생활 막내 생존 노하우,김희준,"자기계발, 자기계발, ","성공/처세, 직장처세, 비즈니스능력계발, 신입사원, ",929,10.0,4.0,9791158393335
바운더리,헨리 클라우드,"자기계발, ","비즈니스능력계발, 리더십향상, ",930,9.38,6.0,9791155581049
