title,author,genre_1,genre_2,brank,rate,count,isbn
법학 첫걸음,오호택,"정치/사회, 정치/사회, 대학교재, ","법학, 법학일반, 대학교재, 법학, 정치/사회/법, 법학, ",951,0.0,,9791189979638
미사일 알파부터 오메가까지,손승찬,"정치/사회, ","국방/군사, 국방/군사일반, ",952,10.0,3.0,9791138816656
방문요양센터 운영의 모든 것! 가산사회복지사편,스마일시니어 편집부,"정치/사회, 정치/사회, ","사회문제/복지, 사회복지, 사회문제/복지, 노인복지, ",953,0.0,,9791197714351
방문요양센터 폐업의 모든 것!,스마일시니어 편집부,"정치/사회, 정치/사회, ","사회문제/복지, 사회복지, 사회문제/복지, 노인복지, ",954,0.0,,9791197714368
2023 HS품목별수출입통관편람,한국관세무역개발원,"정치/사회, 경제/경영, ","정부간행물, 무역/운송, 무역, ",955,0.0,,9788961621403
문화와 사회를 읽는 키워드,임영호,"정치/사회, ","사회학, 사회학일반, ",956,0.0,,9791192090146
예제로 배우는 도시과학 연구방법론,강명구 외,"정치/사회, 정치/사회, 대학교재, ","사회학, 사회학이론, 대학교재, 사회학, 정치/사회/법, 사회학, ",957,0.0,,9791198225702
민사소송법 사례연습 2,문영화,"정치/사회, 정치/사회, 대학교재, ","법학, 소송/판례, 대학교재, 법학, 정치/사회/법, 법학, ",958,10.0,1.0,9791155505854
가족과 친밀성의 사회학,김혜경 외,"정치/사회, 정치/사회, 대학교재, ","사회학, 사회학이론, 대학교재, 사회학, 정치/사회/법, 사회학, ",959,0.0,,9788971106365
사회복지조사론,김승훈 외,"정치/사회, 정치/사회, 정치/사회, 대학교재, ","사회학, 사회학이론, 사회문제/복지, 사회복지, 대학교재, 사회학, 정치/사회/법, 사회학, ",990,0.0,,9788999413339
글로벌 빈곤과 국제개발협력,한상일 외,"정치/사회, 정치/사회, 대학교재, ","정치/외교, 외교/국제관계, 대학교재, 정치학, 정치/사회/법, 정치학, ",961,0.0,,9791130317038
여성 게이머는 총을 쏠 수 있는가,윤태진 외,"정치/사회, ","사회학, 여성학/남성학, ",962,10.0,6.0,9791191401677
인공지능과 지적재산권,백욱인,"정치/사회, ","법학, 상법, ",963,0.0,,9791128864599
최신 경호학,한국경비교육협회 지도교수위원회 외,"정치/사회, 정치/사회, 대학교재, ","행정/정책, 경찰/경호, 대학교재, 행정학, 정치/사회/법, 행정학, ",964,0.0,,9788965415954
나는 왜 소년범을 변호했을까,김광민,"정치/사회, ","사회문제/복지, 사회문제, ",965,8.64,10.0,9788959066735
행정사무 실무기초,박말호,"정치/사회, 정치/사회, 대학교재, ","행정/정책, 행정학, 대학교재, 행정학, 정치/사회/법, 행정학, ",966,0.0,,9791130315560
행정법원론(하)(2023),홍정선,"정치/사회, 정치/사회, 대학교재, ","행정/정책, 행정법, 대학교재, 법학, 정치/사회/법, 법학, ",967,0.0,,9791130343396
"민법의 체계: 민사법 전반에 대한 구조적, 체계적 분석",금동희,"정치/사회, 정치/사회, 대학교재, ","법학, 민법, 대학교재, 법학, 정치/사회/법, 법학, ",968,7.5,2.0,9791130343532
경찰행정법,박균성 외,"정치/사회, 정치/사회, 대학교재, ","행정/정책, 경찰/경호, 대학교재, 행정학, 정치/사회/법, 행정학, ",969,0.0,,9791130344157
독점규제법 이론과 실무,권오승 외,"정치/사회, 정치/사회, 대학교재, ","법학, 상법, 대학교재, 법학, 정치/사회/법, 법학, ",970,0.0,,9788918913841
포스트매스미디어,김용찬,"정치/사회, ","언론/신문/방송, 언론이론, ",971,0.0,,9791192090153
법학산책,김재광,"정치/사회, 정치/사회, 대학교재, ","법학, 법학일반, 대학교재, 법학, 정치/사회/법, 법학, ",972,0.0,,9791130344317
이기는 생각,김태형,"정치/사회, ","국방/군사, 국방/군사일반, ",973,10.0,5.0,9791138816441
창작과 이용을 위한 저작권,배대헌,"정치/사회, ","법학, 상법, ",974,0.0,,9788971806036
법학개론,홍완식 외,"정치/사회, 정치/사회, 대학교재, ","법학, 법학일반, 대학교재, 법학, 정치/사회/법, 법학, ",316,10.0,3.0,9791157308613
행정법론(상)(2023),박균성,"정치/사회, 정치/사회, 대학교재, ","행정/정책, 행정법, 대학교재, 법학, 정치/사회/법, 법학, ",976,10.0,1.0,9791130343761
선거정치,진영재,"정치/사회, ","정치/외교, 선거, ",977,10.0,2.0,9788968507007
한국정치론,강원택,"정치/사회, ","정치/외교, 각국정치, ",978,10.0,1.0,9791130316772
고독사는 사회적 타살입니다(큰글씨책),권종호,"정치/사회, 정치/사회, 정치/사회, ","사회문제/복지, 사회문제, 사회문제/복지, 사회복지, 사회문제/복지, 노인복지, ",979,0.0,,9791168611344
