,title,author,genre_1,genre_2,brank,rate,count,isbn
0,잃어버린 얼굴,올가 토카르축,"소설, 유아(0~7세), ","그외유럽소설, 그외유럽소설, 유아그림책, 외국그림책, ",951,8.75,2.0,9791169811347.0
1,프랑켄슈타인(초판본)(1818년 오리지널 초판본 표지디자인),메리 셸리,"소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, ",952,0.0,,9791164456789.0
2,표정없는 검사의 분투,나카야마 시치리,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",953,10.0,20.0,9791189571931.0
3,항구의 니쿠코짱!,니시 가나코,"소설, ","일본소설, 일본소설일반, ",954,9.74,17.0,9791138477987.0
4,허니비,박문영,"소설, ","한국소설, 한국소설일반, ",955,10.0,9.0,9791167372819.0
5,서브플롯,황모과,"소설, ","한국소설, 한국소설일반, ",956,0.0,,9791167372833.0
6,달의 의지,황현진,"소설, ","한국소설, 한국소설일반, ",957,10.0,2.0,9791167372871.0
7,주디스 헌의 외로운 열정,브라이언 무어,"소설, ","영미소설, 영미소설일반, ",958,9.21,14.0,9788932461373.0
8,동물농장(초판본): 1945년 오리지널 초판본 표지디자인,조지 오웰,"소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, ",959,10.0,2.0,9791164456697.0
9,새벽 2시의 코인 세탁소,박현주,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",960,10.0,8.0,9788954699457.0
10,오디션,무라카미 류,"소설, 소설, ","일본소설, 공포/호러소설, 장르소설, 공포/호러소설, ",961,8.81,15.0,9788956594644.0
11,베스트 오브 차이니즈 SF: 중국 여성 SF 걸작선,구스 외,"소설, 소설, ","중국소설, SF/과학소설, 장르소설, SF/과학소설, ",962,0.0,,
12,비탄의 망령은 은퇴하고 싶다 9,츠키카게,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",963,10.0,3.0,9791138478038.0
13,두 손이 닿을 때까지,강민서,"소설, 소설, ","한국소설, 로맨스소설, 장르소설, 로맨스소설, ",964,10.0,3.0,9791169680004.0
14,스즈메의 문단속(스페셜 에디션),신카이 마코토,"소설, 소설, 소설, 소설, ","일본소설, 라이트노벨, 일본소설, 드라마/영화소설, 라이트노벨, 일본라이트노벨, 장르소설, 드라마/영화소설, ",965,9.82,23.0,9791169797863.0
15,실버 트리 3,윤소리,"소설, 소설, 소설, 소설, ","한국소설, 로맨스소설, 한국소설, 판타지소설, 장르소설, 판타지소설, 장르소설, 로맨스소설, ",966,10.0,2.0,9791140808045.0
16,실버 트리 5,윤소리,"소설, 소설, 소설, 소설, ","한국소설, 로맨스소설, 한국소설, 판타지소설, 장르소설, 판타지소설, 장르소설, 로맨스소설, ",967,10.0,1.0,9791140808083.0
17,아오이가든,편혜영,"소설, ","한국소설, 한국소설일반, ",968,10.0,1.0,9788932041438.0
18,"비록, 닿을 수 없는 너의 세상일지라도",미아키 스가루,"소설, ","일본소설, 일본소설일반, ",969,10.0,11.0,9791165347123.0
19,1미터는 없어,양지예,"소설, ","한국소설, 한국소설일반, ",970,10.0,4.0,9788954698894.0
20,특성 없는 남자 1,로베르트 무질,"소설, 소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, 세계문학전집, 문학동네 세계문학전집, ",971,10.0,3.0,9788954691468.0
21,한성요괴상점,기구름,"소설, 소설, ","한국소설, 판타지소설, 장르소설, 판타지소설, ",972,10.0,1.0,9791169682664.0
22,레몬 케이크의 특별한 슬픔,에이미 벤더,"소설, ","영미소설, 영미소설일반, ",973,9.87,34.0,9791198030726.0
23,싯다르타(초판본)(리커버 한정판)(1922년 오리지널 초판본 표지디자인 블랙벨벳 에디션),헤르만 헤세,"소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, ",974,10.0,3.0,9791164456550.0
24,데이트 어 라이브 앙코르 11,타치바나 코우시,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",975,10.0,17.0,9791127867706.0
25,한밤중의 아이,츠지 히토나리,"소설, ","일본소설, 일본소설일반, ",976,9.63,235.0,9791160272963.0
26,암스테르담,이언 매큐언,"소설, ","영미소설, 영미소설일반, ",977,10.0,6.0,9788954689472.0
27,젊은 남자,아니 에르노,"소설, ","프랑스소설, 프랑스소설일반, ",978,9.09,14.0,9791191861198.0
28,베니스의 개성상인 2,오세영,"소설, 소설, ","한국소설, 역사/대하소설, 장르소설, 역사소설, ",979,10.0,3.0,9788976045096.0
29,십이국기 9: 백은의 언덕 검은 달 1,오노 후유미,"소설, 소설, ","일본소설, 판타지소설, 장르소설, 판타지소설, ",980,10.0,44.0,9788954690614.0
30,마스터마인드,이성민,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",981,10.0,16.0,9791138587884.0
31,마리아의 비밀,위영,"소설, ","한국소설, 한국소설일반, ",982,9.5,5.0,9791164403066.0
32,인간 실격,다자이 오사무,"소설, 소설, 소설, ","일본소설, 고전소설/문학선, 고전소설/문학선, 일본고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",30,9.41,1147.0,9788937461033.0
33,인간 실격,다자이 오사무,"소설, 소설, 소설, ","일본소설, 고전소설/문학선, 고전소설/문학선, 일본고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",30,9.41,1147.0,9788950919450.0
34,인간 실격,다자이 오사무,"소설, 소설, 소설, ","일본소설, 고전소설/문학선, 고전소설/문학선, 일본고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",30,9.41,1147.0,9791164456369.0
35,모 이야기,최연주,"소설, ","한국소설, 한국소설일반, ",984,10.0,12.0,9791188594245.0
36,핸디맨,프리다 맥파든,"소설, 소설, ","영미소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",985,10.0,5.0,9791190157957.0
37,도둑맞은 자전거,우밍이,"소설, ","한국소설, 한국소설일반, ",986,9.88,19.0,9788934943679.0
38,메이드,니타 프로스,"소설, ","영미소설, 영미소설일반, ",987,9.67,19.0,9788947548762.0
39,프랑켄슈타인,메리 셸리,"소설, 소설, 소설, 소설, ","영미소설, 고전소설/문학선, 영미소설, 공포/호러소설, 고전소설/문학선, 영미고전소설/문학선, 장르소설, 공포/호러소설, ",999,10.0,4.0,9788931023015.0
40,프랑켄슈타인,메리 셸리,"소설, 소설, 소설, 소설, ","영미소설, 고전소설/문학선, 영미소설, 공포/호러소설, 고전소설/문학선, 영미고전소설/문학선, 장르소설, 공포/호러소설, ",999,10.0,4.0,9791155815588.0
41,수호자들,존 그리샴,"소설, ","영미소설, 영미소설일반, ",989,10.0,27.0,9791169793087.0
