,title,author,genre_1,genre_2,brank,rate,count,isbn
0,니코마코스 윤리학(그리스어 원전 완역본),아리스토텔레스,"인문, 인문, ","철학, 서양철학자, 철학, 주제별철학, ",951,9.59,73.0,9791139701777.0
1,천년 향가의 비밀,김영회,"인문, ","한국문학론, 한국고전문학, ",952,0.0,,9791168361379.0
2,관계중독,박수경,"인문, ","심리학, 교양심리, ",953,10.0,8.0,
3,예비 일반교육 교사를 위한 특수교육의 이해,박선희 외,"인문, 인문, 대학교재, ","특수교육, 특수교육이론, 대학교재, 교육학, 인문, 교육학, ",954,10.0,1.0,
4,당신은 당신으로 충분히 빛나는 존재입니다,최명기,"인문, ","심리학, 교양심리, ",955,9.56,16.0,9791130679150.0
5,의미의 지도,조던 B. 피터슨,"인문, ","심리학, 교양심리, ",956,9.24,26.0,9791187512608.0
6,1일 1페이지 짧고 깊은 지식수업 365: 통찰력 편,김옥림,"인문, ","인문학일반, 인문교양, ",957,8.68,11.0,9791192073019.0
7,움직임의 뇌과학,캐럴라인 윌리엄스,"인문, 과학, ","인문학일반, 인문교양, 교양과학, 뇌과학, ",958,9.6,39.0,9788901254531.0
8,자해 청소년을 위한 DBT 워크북,셰리 반 디크,"인문, 인문, 대학교재, ","심리학, 심리치료, 대학교재, 심리학, 인문, 심리학, ",959,10.0,3.0,9791191658040.0
9,사피엔스 그래픽 히스토리 2: 문명의 기둥,김명주,"인문, 만화, ","인문학일반, 인문교양, 그래픽노블, 그래픽노블일반, ",960,9.7,83.0,9788934944188.0
10,일생일문,최태성,"인문, ","인문학일반, 인문교양, ",961,9.69,139.0,9791191360233.0
11,3분 철학 2: 서양 중세·근대 철학편,김재훈 외,"인문, 만화, ","철학, 서양철학일반, 교양만화, 교양, ",962,9.82,32.0,
12,자유로운 마음,Steven C. Hayes,"인문, ","심리학, 심리이론, ",963,10.0,2.0,9788999725210.0
13,"군주의 거울, 키루스의 교육",김상근,"인문, ","인문학일반, 인문교양, ",964,0.0,,
14,필로소피 랩,조니 톰슨,"인문, 인문, 인문, ","철학, 교양철학, 철학, 서양철학일반, 철학, 서양철학자, ",965,9.51,129.0,9791155814116.0
15,믿는 인간에 대하여,한동일,"인문, ","인문학일반, 인문교양, ",966,9.5,102.0,
16,숫자는 어떻게 진실을 말하는가,바츨라프 스밀,"인문, 과학, ","인문학일반, 인문교양, 교양과학, 교양수학/수학이야기, ",967,9.2,73.0,9788934944218.0
17,니체: 차라투스트라는 이렇게 말했다 해설서,정동호,"인문, ","철학, 서양철학자, ",968,9.74,23.0,
18,질적 연구방법론,John W. Creswell 외,"인문, 인문, 대학교재, ","교육학, 교육행정/교육경영, 대학교재, 교육학, 인문, 교육학, ",969,10.0,9.0,
19,나는 내가 먼저입니다,네드라 글로버 타와브,"인문, ","심리학, 교양심리, ",970,10.0,35.0,9791164843091.0
20,외국어 학습담,로버트 파우저,"인문, ","언어학, 언어학일반, ",971,9.69,21.0,9791191133035.0
21,언어의 높이뛰기,신지영,"인문, 자기계발, ","인문학일반, 인문교양, 화술/협상, 대화/화술, ",972,9.15,26.0,9791191056938.0
22,기분이 태도가 되지 않으려면,나겨울,"인문, 자기계발, 자기계발, ","심리학, 교양심리, 자기능력계발, 마인드콘트롤/감정, 인간관계, 인간관계일반, ",973,8.97,49.0,9791197080845.0
23,자꾸 이상한 생각이 달라붙어요,샐리 M. 윈스턴 외,"인문, ","심리학, 교양심리, ",974,10.0,5.0,9791187064695.0
24,생각을 바꾸는 생각들,비카스 샤,"인문, ","인문학일반, 인문교양, ",975,9.24,108.0,9791191056853.0
25,나를 살리는 철학,알베르트 키츨러,"인문, ","철학, 교양철학, ",976,9.43,32.0,
26,약속의 땅,버락 오바마,"인문, 시/에세이, 정치/사회, ","인문학일반, 인문교양, 인물/자전적에세이, 정치가/법조인, 정치/외교, 정치가, ",977,9.59,265.0,9788901251868.0
27,"그게, 가스라이팅이야",에이미 말로 맥코이,"인문, ","심리학, 교양심리, ",978,9.17,14.0,9791197407345.0
28,3분 철학 1: 서양 고대 철학편,김재훈 외,"인문, 만화, ","철학, 서양철학일반, 교양만화, 교양, ",979,9.73,45.0,
29,정신병의 나라에서 왔습니다,리단,"인문, ","심리학, 교양심리, ",980,9.09,18.0,9791191187908.0
30,자폐의 거의 모든 역사,존 돈반 외,"인문, ","특수교육, 자폐아, ",981,8.81,13.0,
31,백년의 독서,김형석,"인문, ","독서/글쓰기, 독서, ",982,9.53,34.0,
32,오래된 질문,다큐멘터리 제작팀 외,"인문, ","인문학일반, 인문교양, ",983,9.66,81.0,
33,춘향전,작자미상,"인문, ","인문교양총서, 인문교양총서일반, ",984,9.57,62.0,
34,동경대전 1: 나는 코리안이다,김용옥,"인문, ","철학, 한국철학, ",985,9.42,67.0,9788982641497.0
35,정보 컴퓨터 전공A,강오한,"인문, ","임용고시, 전공과목별임용고시, ",986,0.0,,
36,지혜로운 교사는 어떻게 학부모 상담을 하는가?,이상우,"인문, ","교육학, 교육학이론, ",987,9.69,5.0,
37,함께하는 교육학 1 논술이론편,전태련 외,"인문, ","임용고시, 교육학개론, ",988,10.0,16.0,
38,율곡어록,율곡 이이,"인문, ","인문고전총서, 인문고전총서일반, ",989,9.54,69.0,9791159932175.0
39,정서중심치료,Leslie S. Greenberg,"인문, ","심리학, 심리치료, ",990,10.0,1.0,9788999722486.0
40,와인잔에 담긴 인문학,황헌,"인문, 요리, ","인문학일반, 인문교양, 와인/커피/음료, 와인, ",991,9.42,30.0,
41,이해인의 말,안희경,"인문, 인문, ","인문교양총서, 인문교양총서일반, 한국문학론, 한국작가론, ",992,10.0,37.0,9788960906549.0
42,차라투스트라는 이렇게 말했다,프리드리히 니체,"인문, ","철학, 서양철학자, ",571,9.81,19.0,9791197329630.0
43,차라투스트라는 이렇게 말했다,프리드리히 니체,"인문, ","철학, 서양철학자, ",571,9.81,19.0,9791160804591.0
44,차라투스트라는 이렇게 말했다,프리드리히 니체,"인문, ","철학, 서양철학자, ",571,9.81,19.0,9788970132099.0
