title,author,genre_1,genre_2,brank,rate,count
잃어버린 얼굴,올가 토카르축,"소설, 유아(0~7세), ","그외유럽소설, 그외유럽소설, 유아그림책, 외국그림책, ",951,8.75,2
표정없는 검사의 분투,나카야마 시치리,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",953,10.0,20
항구의 니쿠코짱!,니시 가나코,"소설, ","일본소설, 일본소설일반, ",954,9.74,17
허니비,박문영,"소설, ","한국소설, 한국소설일반, ",955,10.0,9
달의 의지,황현진,"소설, ","한국소설, 한국소설일반, ",957,10.0,2
주디스 헌의 외로운 열정,브라이언 무어,"소설, ","영미소설, 영미소설일반, ",958,9.21,14
동물농장(초판본): 1945년 오리지널 초판본 표지디자인,조지 오웰,"소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, ",959,10.0,2
새벽 2시의 코인 세탁소,박현주,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",960,10.0,8
오디션,무라카미 류,"소설, 소설, ","일본소설, 공포/호러소설, 장르소설, 공포/호러소설, ",961,8.81,15
비탄의 망령은 은퇴하고 싶다 9,츠키카게,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",963,10.0,3
두 손이 닿을 때까지,강민서,"소설, 소설, ","한국소설, 로맨스소설, 장르소설, 로맨스소설, ",964,10.0,3
스즈메의 문단속(스페셜 에디션),신카이 마코토,"소설, 소설, 소설, 소설, ","일본소설, 라이트노벨, 일본소설, 드라마/영화소설, 라이트노벨, 일본라이트노벨, 장르소설, 드라마/영화소설, ",965,9.82,23
실버 트리 3,윤소리,"소설, 소설, 소설, 소설, ","한국소설, 로맨스소설, 한국소설, 판타지소설, 장르소설, 판타지소설, 장르소설, 로맨스소설, ",966,10.0,2
실버 트리 5,윤소리,"소설, 소설, 소설, 소설, ","한국소설, 로맨스소설, 한국소설, 판타지소설, 장르소설, 판타지소설, 장르소설, 로맨스소설, ",967,10.0,1
아오이가든,편혜영,"소설, ","한국소설, 한국소설일반, ",968,10.0,1
"비록, 닿을 수 없는 너의 세상일지라도",미아키 스가루,"소설, ","일본소설, 일본소설일반, ",969,10.0,11
1미터는 없어,양지예,"소설, ","한국소설, 한국소설일반, ",970,10.0,4
특성 없는 남자 1,로베르트 무질,"소설, 소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, 세계문학전집, 문학동네 세계문학전집, ",971,10.0,3
한성요괴상점,기구름,"소설, 소설, ","한국소설, 판타지소설, 장르소설, 판타지소설, ",972,10.0,1
레몬 케이크의 특별한 슬픔,에이미 벤더,"소설, ","영미소설, 영미소설일반, ",973,9.87,34
싯다르타(초판본)(리커버 한정판)(1922년 오리지널 초판본 표지디자인 블랙벨벳 에디션),헤르만 헤세,"소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, ",974,10.0,3
데이트 어 라이브 앙코르 11,타치바나 코우시,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",975,10.0,17
한밤중의 아이,츠지 히토나리,"소설, ","일본소설, 일본소설일반, ",976,9.63,235
암스테르담,이언 매큐언,"소설, ","영미소설, 영미소설일반, ",977,10.0,6
젊은 남자,아니 에르노,"소설, ","프랑스소설, 프랑스소설일반, ",978,9.09,14
베니스의 개성상인 2,오세영,"소설, 소설, ","한국소설, 역사/대하소설, 장르소설, 역사소설, ",979,10.0,3
십이국기 9: 백은의 언덕 검은 달 1,오노 후유미,"소설, 소설, ","일본소설, 판타지소설, 장르소설, 판타지소설, ",980,10.0,44
마스터마인드,이성민,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",981,10.0,16
마리아의 비밀,위영,"소설, ","한국소설, 한국소설일반, ",982,9.5,5
인간 실격,다자이 오사무,"소설, 소설, ","일본소설, 고전소설/문학선, 고전소설/문학선, 일본고전소설/문학선, ",735,10.0,11
모 이야기,최연주,"소설, ","한국소설, 한국소설일반, ",984,10.0,12
핸디맨,프리다 맥파든,"소설, 소설, ","영미소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",985,10.0,5
도둑맞은 자전거,우밍이,"소설, ","한국소설, 한국소설일반, ",986,9.88,19
메이드,니타 프로스,"소설, ","영미소설, 영미소설일반, ",987,9.67,19
프랑켄슈타인,메리 셸리,"소설, 소설, 소설, 소설, ","영미소설, 고전소설/문학선, 영미소설, 공포/호러소설, 고전소설/문학선, 영미고전소설/문학선, 장르소설, 공포/호러소설, ",999,10.0,4
수호자들,존 그리샴,"소설, ","영미소설, 영미소설일반, ",989,10.0,27
선생님이 알아서는 안 되는 학교 폭력 일기,쿤룬,"소설, 소설, ","중국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",990,10.0,20
신카이 마코토 세트,신카이 마코토 외 3명,"소설, 소설, 소설, 소설, ","일본소설, 라이트노벨, 일본소설, 드라마/영화소설, 라이트노벨, 일본라이트노벨, 장르소설, 드라마/영화소설, ",991,9.76,26
아무도 모를 것이다,정보라,"소설, ","한국소설, 한국소설일반, ",992,10.0,6
"거미입니다만, 문제라도? 16",바바 오키나,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",993,10.0,2
토요미스테리,디바제시카,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",994,9.94,27
카피캣 식당,범유진,"소설, 소설, 소설, ","한국소설, 한국소설일반, 한국소설, 판타지소설, 장르소설, 판타지소설, ",995,10.0,2
우리가 얼마나 아름다웠는지,임볼로 음붸,"소설, ","영미소설, 영미소설일반, ",996,9.17,3
어린 왕자(문고판),생텍쥐페리,"소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, ",997,10.0,4
어린 왕자(초판본 문고판),생텍쥐페리,"소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, ",998,10.0,3
사소한 삶,피에르 미숑,"소설, ","프랑스소설, 프랑스소설일반, ",1000,10.0,5
선과 모터사이클 관리술,로버트 M. 피어시그,"소설, ","영미소설, 영미소설일반, ",901,10.0,15
한중록,혜경궁 홍씨,"소설, 소설, ","한국소설, 고전소설/문학선, 고전소설/문학선, 한국고전소설/문학선, ",902,9.22,107
인형의 집,헨리크 입센,"소설, 소설, 소설, ","북유럽소설, 고전소설/문학선, 고전소설/문학선, 북유럽고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",903,9.6,79
예브게니 오네긴,알렉산드르 뿌쉬낀,"소설, 소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, 세계문학전집, 열린책들 세계문학, ",904,9.42,24
템페스트,윌리엄 셰익스피어,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 문학동네 세계문학전집, ",905,9.46,17
장미의 이름 세트,움베르토 에코,"소설, 소설, 소설, ","그외유럽소설, 이탈리아소설, 장르소설, 공포/호러소설, 장르소설, 미스터리/스릴러소설, ",906,9.47,123
향수,파트리크 쥐스킨트,"소설, 소설, 소설, ","독일소설, 공포/호러소설, 세계문학전집, 열린책들 세계문학, 장르소설, 공포/호러소설, ",907,9.72,40
클링조어의 마지막 여름,헤르만 헤세,"소설, 소설, 소설, ","독일소설, 고전소설/문학선, 고전소설/문학선, 독일고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",908,9.86,33
에브리맨,필립 로스,"소설, ","영미소설, 영미소설일반, ",909,9.4,79
1Q84 2,무라카미 하루키,"소설, ","일본소설, 일본소설일반, ",321,10.0,1
오이디푸스 왕,소포클레스,"소설, 소설, 소설, ","그외유럽소설, 그외유럽소설, 고전소설/문학선, 고전소설/문학선일반, 세계문학전집, 민음사 세계문학전집, ",911,9.17,55
화씨 451,레이 브래드버리,"소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, ",912,9.34,66
광장 구운몽,최인훈,"소설, 소설, ","한국소설, 고전소설/문학선, 고전소설/문학선, 한국고전소설/문학선, ",913,9.58,33
로드(THE ROAD),코맥 매카시,"소설, ","영미소설, 영미소설일반, ",914,8.77,171
인생의 베일,서머싯 몸,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",915,9.45,143
태평천하,채만식,"소설, 소설, ","한국소설, 고전소설/문학선, 고전소설/문학선, 한국고전소설/문학선, ",916,9.85,22
톨스토이 단편선 1,L. N. 톨스토이,"소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, ",917,9.71,90
사랑을 말할 때 우리가 이야기하는 것,레이먼드 카버,"소설, ","영미소설, 영미소설일반, ",918,8.44,16
달콤 쌉싸름한 초콜릿,라우라 에스키벨,"소설, 소설, 소설, ","기타나라소설, 중남미소설, 고전소설/문학선, 고전소설/문학선일반, 세계문학전집, 민음사 세계문학전집, ",919,9.33,120
